,Connected to robot,Number of exit queues,Transfer amount to CS,Total handle robot,Robot handle ratio,Robot actual completion ratio,Robot Success ratio,Date
909,10777,0,5392,5385,49.97,49.97,49.97,2024-11-14
910,11552,0,5713,5839,50.55,50.55,50.55,2024-11-15
911,11213,0,5588,5625,50.16,50.16,50.16,2024-11-16
912,11156,0,5507,5649,50.64,50.64,50.64,2024-11-17
913,12906,34,6677,6229,48.26,48.0,48.0,2024-11-18
914,12246,2,6279,5967,48.73,48.72,48.72,2024-11-19
915,12072,0,6294,5778,47.86,47.86,47.86,2024-11-20
916,10998,1,5553,5445,49.51,49.5,49.5,2024-11-21
917,10707,1,5324,5383,50.28,50.27,50.27,2024-11-22
918,10353,14,5091,5262,50.83,50.69,50.69,2024-11-23
919,10081,0,5049,5032,49.92,49.92,49.92,2024-11-24
920,13960,25,6893,7067,50.62,50.45,50.45,2024-11-25
921,14450,67,7006,7444,51.52,51.05,51.05,2024-11-26
922,11063,0,5538,5525,49.94,49.94,49.94,2024-11-27
923,13420,2,6601,6819,50.81,50.8,50.8,2024-11-28
924,15232,29,7247,7985,52.42,52.23,52.23,2024-11-29
925,13863,31,6692,7171,51.73,51.5,51.5,2024-11-30
926,14791,146,7013,7778,52.59,51.61,51.61,2024-12-01
927,16531,118,7907,8624,52.17,51.46,51.46,2024-12-02
928,15052,42,7377,7675,50.99,50.71,50.71,2024-12-03
929,13212,4,6486,6726,50.91,50.88,50.88,2024-12-04
930,13455,30,6657,6798,50.52,50.3,50.3,2024-12-05
931,13450,0,6580,6870,51.08,51.08,51.08,2024-12-06
932,12360,9,6080,6280,50.81,50.74,50.74,2024-12-07
933,11302,0,5508,5794,51.27,51.27,51.27,2024-12-08
934,12809,3,6291,6518,50.89,50.86,50.86,2024-12-09
935,13612,5,6874,6738,49.5,49.46,49.46,2024-12-10
936,12935,10,6588,6347,49.07,48.99,48.99,2024-12-11
937,12132,2,6246,5886,48.52,48.5,48.5,2024-12-12
938,11859,43,6137,5722,48.25,47.89,47.89,2024-12-13
939,10621,30,5401,5220,49.15,48.87,48.87,2024-12-14
940,10169,8,5199,4970,48.87,48.8,48.8,2024-12-15
941,14116,30,6852,7264,51.46,51.25,51.25,2024-12-16
942,11870,0,5902,5968,50.28,50.28,50.28,2024-12-17
943,11959,24,5963,5996,50.14,49.94,49.94,2024-12-18
944,12123,40,5941,6182,50.99,50.66,50.66,2024-12-19
945,12251,20,5942,6309,51.5,51.33,51.33,2024-12-20
946,11421,0,5383,6038,52.87,52.87,52.87,2024-12-21
947,10853,24,5083,5770,53.17,52.94,52.94,2024-12-22
948,12862,1,6059,6803,52.89,52.88,52.88,2024-12-23
949,13745,30,6595,7150,52.02,51.8,51.8,2024-12-24
950,14737,3,7071,7666,52.02,52.0,52.0,2024-12-25
951,14367,0,6978,7389,51.43,51.43,51.43,2024-12-26
952,14250,1,6788,7462,52.36,52.36,52.36,2024-12-27
953,14405,64,6774,7631,52.97,52.53,52.53,2024-12-28
954,12754,167,5881,6873,53.89,52.58,52.58,2024-12-29
955,14325,67,6870,7455,52.04,51.58,51.58,2024-12-30
956,14031,10,6319,7712,54.96,54.89,54.89,2024-12-31
957,16507,182,7486,9021,54.65,53.55,53.55,2025-01-01
958,19826,239,8834,10992,55.44,54.24,54.24,2025-01-02
959,19463,470,8467,10996,56.5,54.09,54.09,2025-01-03
960,15971,242,7263,8708,54.52,53.02,53.01,2025-01-04
961,14048,88,6597,7451,53.04,52.41,52.41,2025-01-05
962,20752,930,8564,12188,58.73,54.26,54.26,2025-01-06
963,28728,1464,10664,18064,62.88,57.78,57.78,2025-01-07
964,39854,2999,12785,27069,67.92,60.41,58.39,2025-01-08
965,33926,3051,12543,21383,63.03,54.04,54.01,2025-01-09
966,26853,1806,10945,15908,59.24,52.52,52.52,2025-01-10
967,20757,870,8822,11935,57.5,53.31,53.31,2025-01-11
968,19959,874,8567,11392,57.08,52.71,52.71,2025-01-12
969,25436,1593,10428,15008,59.0,52.75,52.75,2025-01-13
970,15650,341,7556,8094,51.72,49.55,49.55,2025-01-14
971,15374,205,7187,8187,53.25,51.93,51.93,2025-01-15
972,13593,65,6495,7098,52.22,51.74,51.74,2025-01-16
973,12490,11,6148,6342,50.78,50.7,50.7,2025-01-17
974,12118,148,5711,6407,52.87,51.66,51.66,2025-01-18
975,11597,9,5571,6026,51.96,51.88,51.88,2025-01-19
976,13589,22,6588,7001,51.52,51.36,51.36,2025-01-20
977,12714,23,6119,6595,51.87,51.7,51.7,2025-01-21
978,12223,2,5924,6299,51.53,51.52,51.52,2025-01-22
979,12000,23,5835,6165,51.37,51.18,51.18,2025-01-23
980,13966,34,6553,7413,53.08,52.84,52.84,2025-01-24
981,16770,381,7846,8924,53.21,50.95,50.95,2025-01-25
982,15053,249,7380,7673,50.97,49.32,49.32,2025-01-26
983,13341,27,6558,6783,50.84,50.64,50.64,2025-01-27
984,14035,18,6772,7263,51.75,51.62,51.62,2025-01-28
985,12833,5,6051,6782,52.85,52.81,52.81,2025-01-29
986,13777,3,6638,7139,51.82,51.8,51.8,2025-01-30
987,16801,215,7640,9161,54.53,53.25,53.25,2025-01-31
988,17486,318,7927,9559,54.67,52.86,52.86,2025-02-01
989,15255,156,7147,8108,53.15,52.13,52.13,2025-02-02
990,16127,169,7534,8593,53.28,52.24,52.23,2025-02-03
991,16046,238,7598,8448,52.65,51.17,51.17,2025-02-04
992,16248,174,7807,8441,51.95,50.88,50.87,2025-02-05
993,15914,265,7529,8385,52.69,51.03,51.03,2025-02-06
994,14291,98,6926,7365,51.54,50.86,50.86,2025-02-07
995,12707,15,6222,6485,51.03,50.92,50.92,2025-02-08
996,12056,0,5732,6324,52.46,52.46,52.46,2025-02-09
997,15204,35,7337,7867,51.74,51.51,51.51,2025-02-10
998,14714,25,7264,7450,50.63,50.46,50.46,2025-02-11
999,13946,124,6752,7194,51.58,50.7,50.7,2025-02-12
1000,12804,0,6161,6643,51.88,51.88,51.88,2025-02-13
1001,12491,2,6069,6422,51.41,51.4,51.4,2025-02-14
1002,11771,8,5711,6060,51.48,51.41,51.41,2025-02-15
1003,10862,0,5321,5541,51.01,51.01,51.01,2025-02-16
1004,12170,0,5923,6247,51.33,51.33,51.33,2025-02-17
1005,12277,3,5973,6304,51.35,51.32,51.32,2025-02-18
1006,12770,1,6085,6685,52.35,52.34,52.34,2025-02-19
1007,12624,0,6115,6509,51.56,51.56,51.56,2025-02-20
1008,11864,3,5798,6066,51.13,51.1,51.1,2025-02-21
1009,10820,0,5176,5644,52.16,52.16,52.16,2025-02-22
1010,10296,0,4982,5314,51.61,51.61,51.61,2025-02-23
1011,11945,1,5716,6229,52.15,52.14,52.14,2025-02-24
1012,16341,193,7881,8460,51.77,50.6,50.6,2025-02-25
1013,13721,99,6754,6967,50.78,50.05,50.05,2025-02-26
1014,12178,3,5943,6235,51.2,51.17,51.17,2025-02-27
1015,17262,547,7851,9411,54.52,51.36,51.36,2025-02-28
1016,16730,562,7708,9022,53.93,50.57,50.57,2025-03-01
1017,13202,126,6232,6970,52.8,51.84,51.84,2025-03-02
1018,14544,16,7040,7504,51.6,51.49,51.49,2025-03-03
1019,13003,74,6290,6713,51.63,51.07,51.07,2025-03-04
1020,13248,92,6194,7054,53.25,52.56,52.56,2025-03-05
1021,13060,54,6292,6768,51.82,51.42,51.42,2025-03-06
1022,12549,19,6076,6473,51.58,51.43,51.43,2025-03-07
1023,11955,3,5817,6138,51.34,51.32,51.32,2025-03-08
1024,11497,7,5556,5941,51.67,51.61,51.61,2025-03-09
1025,13281,15,6474,6807,51.25,51.14,51.13,2025-03-10
1026,22671,1917,8576,14095,62.17,53.72,44.87,2025-03-11
1027,30819,4433,13013,17806,57.78,43.39,43.27,2025-03-12
1028,12214,9,6110,6104,49.98,49.9,49.9,2025-03-13
1029,11820,1,5798,6022,50.95,50.94,50.94,2025-03-14
1030,10969,0,5398,5571,50.79,50.79,50.79,2025-03-15
1031,10006,0,4859,5147,51.44,51.44,51.44,2025-03-16
1032,11365,2,5682,5683,50.0,49.99,49.99,2025-03-17
1033,11229,0,5540,5689,50.66,50.66,50.66,2025-03-18
1034,10929,2,5421,5508,50.4,50.38,50.38,2025-03-19
1035,20985,1956,7169,13816,65.84,56.52,46.05,2025-03-20
1036,35297,5444,14037,21260,60.23,44.81,44.71,2025-03-21
1037,11244,147,5339,5905,52.52,51.21,51.21,2025-03-22
1038,9368,0,4489,4879,52.08,52.08,52.08,2025-03-23
1039,10640,0,5062,5578,52.42,52.42,52.42,2025-03-24
1040,12091,3,5754,6337,52.41,52.39,52.39,2025-03-25
1041,11960,0,5732,6228,52.07,52.07,52.07,2025-03-26
1042,11926,3,5605,6321,53.0,52.98,52.98,2025-03-27
1043,12062,18,5562,6500,53.89,53.74,53.74,2025-03-28
1044,9782,6,4436,5346,54.65,54.6,54.6,2025-03-29
1045,8250,68,3783,4467,54.15,53.33,53.33,2025-03-30
1046,6280,9,2867,3413,54.35,54.2,54.2,2025-03-31
1047,8074,0,3853,4221,52.28,52.28,52.28,2025-04-01
1048,9470,1,4431,5039,53.21,53.2,53.2,2025-04-02
1049,9513,4,4493,5020,52.77,52.73,52.73,2025-04-03
1050,9839,0,4650,5189,52.74,52.74,52.74,2025-04-04
1051,9702,0,4552,5150,53.08,53.08,53.08,2025-04-05
1052,8861,0,4247,4614,52.07,52.07,52.07,2025-04-06
1053,10360,0,4969,5391,52.04,52.04,52.04,2025-04-07
1054,11675,8,5685,5990,51.31,51.24,51.24,2025-04-08
1055,11882,0,5775,6107,51.4,51.4,51.4,2025-04-09
1056,12504,22,6115,6389,51.1,50.92,50.92,2025-04-10
1057,11772,10,5810,5962,50.65,50.56,50.56,2025-04-11
1058,10224,6,4955,5269,51.54,51.48,51.48,2025-04-12
1059,9138,0,4461,4677,51.18,51.18,51.18,2025-04-13
1060,10737,0,5206,5531,51.51,51.51,51.51,2025-04-14
1061,10868,0,5266,5602,51.55,51.55,51.55,2025-04-15
1062,10382,0,5014,5368,51.7,51.7,51.7,2025-04-16
1063,10484,0,5015,5469,52.17,52.17,52.17,2025-04-17
1064,9850,0,4698,5152,52.3,52.3,52.3,2025-04-18
1065,9593,0,4449,5144,53.62,53.62,53.62,2025-04-19
1066,9434,0,4429,5005,53.05,53.05,53.05,2025-04-20
1067,10616,0,5073,5543,52.21,52.21,52.21,2025-04-21
1068,10706,0,5074,5632,52.61,52.61,52.61,2025-04-22
1069,10865,0,5087,5778,53.18,53.18,53.18,2025-04-23
1070,10638,0,4969,5669,53.29,53.29,53.29,2025-04-24
1071,12783,0,6151,6632,51.88,51.88,51.88,2025-04-25
1072,11574,4,5460,6114,52.83,52.79,52.79,2025-04-26
1073,10035,4,4675,5360,53.41,53.37,53.37,2025-04-27
1074,12379,3,5879,6500,52.51,52.48,52.48,2025-04-28
1075,12049,0,5550,6499,53.94,53.94,53.94,2025-04-29
1076,13227,37,6247,6980,52.77,52.49,52.49,2025-04-30
1077,14124,3,6397,7727,54.71,54.69,54.69,2025-05-01
1078,13260,7,6265,6995,52.75,52.7,52.7,2025-05-02
1079,11809,69,5373,6436,54.5,53.92,53.92,2025-05-03
1080,10735,0,4984,5751,53.57,53.57,53.57,2025-05-04
1081,12319,2,5781,6538,53.07,53.06,53.06,2025-05-05
1082,11930,2,5584,6346,53.19,53.18,53.18,2025-05-06
1083,11731,10,5403,6328,53.94,53.86,53.86,2025-05-07
1084,11493,0,5339,6154,53.55,53.55,53.55,2025-05-08
1085,11518,0,5441,6077,52.76,52.76,52.76,2025-05-09
1086,14267,283,6495,7772,54.48,52.49,52.49,2025-05-10
1087,23735,1540,9916,13819,58.22,51.74,51.74,2025-05-11
1088,12479,90,5777,6702,53.71,52.99,52.99,2025-05-12
1089,11227,4,5318,5909,52.63,52.6,52.6,2025-05-13
1090,11326,0,5276,6050,53.42,53.42,53.42,2025-05-14
1091,12116,1,5323,6793,56.07,56.06,56.06,2025-05-15
1092,11349,0,4528,6821,60.1,60.1,60.1,2025-05-16
1093,10957,0,4205,6752,61.62,61.62,61.62,2025-05-17
1094,10358,0,4176,6182,59.68,59.68,59.68,2025-05-18
1095,11542,0,4549,6993,60.59,60.59,60.59,2025-05-19
1096,11981,3,4769,7212,60.2,60.18,60.18,2025-05-20
1097,11487,0,4594,6893,60.01,60.01,60.01,2025-05-21
1098,11423,2,4534,6889,60.31,60.29,60.29,2025-05-22
1099,12252,0,4795,7457,60.86,60.86,60.86,2025-05-23
1100,11958,0,4709,7249,60.62,60.62,60.62,2025-05-24
1101,11763,0,4516,7247,61.61,61.61,61.61,2025-05-25
1102,12851,7,5178,7673,59.71,59.65,59.65,2025-05-26
1103,12015,5,4682,7333,61.03,60.99,60.99,2025-05-27
1104,13831,2,5333,8498,61.44,61.43,61.43,2025-05-28
1105,12347,7,4848,7499,60.74,60.68,60.68,2025-05-29
1106,12475,0,4916,7559,60.59,60.59,60.59,2025-05-30
1107,12409,0,4651,7758,62.52,62.52,62.52,2025-05-31
1108,14051,0,5503,8548,60.84,60.84,60.84,2025-06-01
1109,16652,6,6330,10322,61.99,61.95,61.95,2025-06-02
1110,19406,46,7051,12355,63.67,63.43,63.43,2025-06-03
1111,15501,1,5874,9627,62.11,62.1,62.1,2025-06-04
1112,12909,1,5024,7885,61.08,61.07,61.07,2025-06-05
1113,10884,6,4316,6568,60.35,60.29,60.29,2025-06-06
1114,10518,0,4133,6385,60.71,60.71,60.71,2025-06-07
1115,9943,0,3999,5944,59.78,59.78,59.78,2025-06-08
1116,11610,0,4668,6942,59.79,59.79,59.79,2025-06-09
1117,13497,19,5509,7988,59.18,59.04,59.04,2025-06-10
1118,13599,0,5387,8212,60.39,60.39,60.39,2025-06-11
1119,12987,0,5205,7782,59.92,59.92,59.92,2025-06-12
1120,14340,43,5477,8863,61.81,61.51,61.51,2025-06-13
1121,12429,5,4876,7553,60.77,60.73,60.73,2025-06-14
1122,11390,1,4379,7011,61.55,61.55,61.55,2025-06-15
1123,12555,0,4978,7577,60.35,60.35,60.35,2025-06-16
1124,12286,0,4959,7327,59.64,59.64,59.64,2025-06-17
1125,11621,0,4622,6999,60.23,60.23,60.23,2025-06-18
1126,11841,0,4756,7085,59.83,59.83,59.83,2025-06-19
1127,12363,0,5014,7349,59.44,59.44,59.44,2025-06-20
1128,10788,0,4271,6517,60.41,60.41,60.41,2025-06-21
1129,10455,0,4090,6365,60.88,60.88,60.88,2025-06-22
1130,11606,0,4554,7052,60.76,60.76,60.76,2025-06-23
1131,10600,0,4214,6386,60.25,60.25,60.25,2025-06-24
1132,13824,0,5562,8262,59.77,59.77,59.77,2025-06-25
1133,12920,1,5147,7773,60.16,60.15,60.15,2025-06-26
1134,11398,0,4690,6708,58.85,58.85,58.85,2025-06-27
1135,11512,0,4577,6935,60.24,60.24,60.24,2025-06-28
1136,10688,0,4256,6432,60.18,60.18,60.18,2025-06-29
1137,15954,63,6686,9268,58.09,57.7,57.7,2025-06-30
1138,19050,484,8262,10788,56.63,54.09,54.09,2025-07-01
1139,16521,52,7056,9465,57.29,56.98,56.98,2025-07-02
1140,15619,228,6477,9142,58.53,57.08,57.08,2025-07-03
1141,16849,544,6878,9971,59.18,55.95,55.95,2025-07-04
1142,26660,2072,9834,16826,63.11,55.35,55.33,2025-07-05
1143,22730,1679,8303,14427,63.47,56.08,56.07,2025-07-06
1144,12960,3,5321,7639,58.94,58.92,58.92,2025-07-07
1145,12600,1,5127,7473,59.31,59.3,59.3,2025-07-08
1146,12703,0,5176,7527,59.25,59.25,59.25,2025-07-09
1147,13818,17,5684,8134,58.87,58.74,58.74,2025-07-10
1148,13852,10,5807,8045,58.08,58.01,58.01,2025-07-11
1149,12376,0,5094,7282,58.84,58.84,58.84,2025-07-12
1150,11288,0,4562,6726,59.59,59.59,59.59,2025-07-13
1151,12217,0,4671,7546,61.77,61.77,61.77,2025-07-14
1152,13469,0,4720,8749,64.96,64.96,64.96,2025-07-15
1153,12943,0,4515,8428,65.12,65.12,65.12,2025-07-16
1154,13924,0,4675,9249,66.42,66.42,66.42,2025-07-17
1155,13881,0,4578,9303,67.02,67.02,67.02,2025-07-18
1156,12848,0,4305,8543,66.49,66.49,66.49,2025-07-19
1157,11571,0,4002,7569,65.41,65.41,65.41,2025-07-20
1158,12246,0,4286,7960,65.0,65.0,65.0,2025-07-21
1159,12011,0,4145,7866,65.49,65.49,65.49,2025-07-22
1160,11954,0,4172,7782,65.1,65.1,65.1,2025-07-23
1161,12128,1,4290,7838,64.63,64.62,64.62,2025-07-24
1162,14329,0,5182,9147,63.84,63.84,63.84,2025-07-25
1163,12758,0,4542,8216,64.4,64.4,64.4,2025-07-26
1164,10952,0,3746,7206,65.8,65.8,65.8,2025-07-27
1165,13578,0,4899,8679,63.92,63.92,63.92,2025-07-28
1166,12863,0,4435,8428,65.52,65.52,65.52,2025-07-29
1167,12316,0,4268,8048,65.35,65.35,65.35,2025-07-30
1168,13430,0,4582,8848,65.88,65.88,65.88,2025-07-31
1169,12190,0,4212,7978,65.45,65.45,65.45,2025-08-01
1170,13725,0,4775,8950,65.21,65.21,65.21,2025-08-02
1171,16641,25,5670,10971,65.93,65.78,65.78,2025-08-03
1172,13293,0,4577,8716,65.57,65.57,65.57,2025-08-04
1173,13369,0,4639,8730,65.3,65.3,65.3,2025-08-05
1174,13715,0,4925,8790,64.09,64.09,64.09,2025-08-06
1175,12867,1,4433,8434,65.55,65.54,65.54,2025-08-07
1176,11824,0,4128,7696,65.09,65.09,65.09,2025-08-08
1177,11251,0,3943,7308,64.95,64.95,64.95,2025-08-09
1178,11284,0,3965,7319,64.86,64.86,64.86,2025-08-10
1179,12712,0,4607,8105,63.76,63.76,63.76,2025-08-11
1180,12074,0,4310,7764,64.3,64.3,64.3,2025-08-12
1181,11120,0,3986,7134,64.15,64.15,64.15,2025-08-13
1182,10960,0,3802,7158,65.31,65.31,65.31,2025-08-14
1183,10781,0,3840,6941,64.38,64.38,64.38,2025-08-15
1184,10235,1,3594,6641,64.89,64.88,64.88,2025-08-16
1185,9232,0,3155,6077,65.83,65.83,65.83,2025-08-17
1186,10315,0,3710,6605,64.03,64.03,64.03,2025-08-18
1187,11093,0,3954,7139,64.36,64.36,64.36,2025-08-19
1188,11423,0,4101,7322,64.1,64.1,64.1,2025-08-20
1189,10921,0,3779,7142,65.4,65.4,65.4,2025-08-21
1190,11299,0,4016,7283,64.46,64.46,64.46,2025-08-22
1191,10788,0,3808,6980,64.7,64.7,64.7,2025-08-23
1192,10380,0,3713,6667,64.23,64.23,64.23,2025-08-24
1193,14087,0,4956,9131,64.82,64.82,64.82,2025-08-25
1194,13705,1,4934,8771,64.0,63.99,63.99,2025-08-26
1195,12596,4,4505,8091,64.23,64.2,64.2,2025-08-27
1196,13919,5,4957,8962,64.39,64.35,64.35,2025-08-28
1197,12921,0,4550,8371,64.79,64.79,64.79,2025-08-29
1198,11597,2,3971,7626,65.76,65.74,65.74,2025-08-30
1199,10374,0,3488,6886,66.38,66.38,66.38,2025-08-31
1200,15779,12,5370,10409,65.97,65.89,65.89,2025-09-01
1201,14978,6,5243,9735,65.0,64.96,64.96,2025-09-02
1202,13685,0,4850,8835,64.56,64.56,64.56,2025-09-03
1203,13560,13,4846,8714,64.26,64.17,64.17,2025-09-04
1204,14096,0,4991,9105,64.59,64.59,64.59,2025-09-05
1205,14806,0,5292,9514,64.26,64.26,64.26,2025-09-06
1206,14015,3,5058,8957,63.91,63.89,63.89,2025-09-07
1207,13515,2,4832,8683,64.25,64.23,64.23,2025-09-08
1208,12333,0,4682,7651,62.04,62.04,62.04,2025-09-09
1209,13459,2,5121,8338,61.95,61.94,61.94,2025-09-10
1210,14958,7,5533,9425,63.01,62.96,62.96,2025-09-11
1211,11521,0,4260,7261,63.02,63.02,63.02,2025-09-12
1212,10294,0,3694,6600,64.12,64.12,64.12,2025-09-13
1213,10039,0,3617,6422,63.97,63.97,63.97,2025-09-14
1214,12712,1,4558,8154,64.14,64.14,64.14,2025-09-15
1215,12734,11,4386,8348,65.56,65.47,65.47,2025-09-16
1216,12403,0,4416,7987,64.4,64.4,64.4,2025-09-17
1217,12020,14,4289,7731,64.32,64.2,64.2,2025-09-18
1218,11940,7,4205,7735,64.78,64.72,64.72,2025-09-19
1219,11520,0,3846,7674,66.61,66.61,66.61,2025-09-20
1220,10951,0,3772,7179,65.56,65.56,65.56,2025-09-21
1221,12878,3,4768,8110,62.98,62.95,62.95,2025-09-22
1222,11901,0,4370,7531,63.28,63.28,63.28,2025-09-23
1223,11777,3,4314,7463,63.37,63.34,63.34,2025-09-24
1224,14547,52,5334,9213,63.33,62.98,62.98,2025-09-25
1225,14724,27,5122,9602,65.21,65.03,65.03,2025-09-26
1226,12051,16,4345,7706,63.94,63.81,63.81,2025-09-27
1227,11940,0,4239,7701,64.5,64.5,64.5,2025-09-28
1228,13466,158,4851,8615,63.98,62.8,62.8,2025-09-29
1229,14905,7,5233,9672,64.89,64.84,64.84,2025-09-30
1230,17007,52,5912,11095,65.24,64.93,64.93,2025-10-01
1231,15357,1,5319,10038,65.36,65.36,65.36,2025-10-02
1232,13736,0,4806,8930,65.01,65.01,65.01,2025-10-03
1233,11836,0,4092,7744,65.43,65.43,65.43,2025-10-04
1234,11116,0,3781,7335,65.99,65.99,65.99,2025-10-05
1235,12633,0,4395,8238,65.21,65.21,65.21,2025-10-06
1236,12285,0,4298,7987,65.01,65.01,65.01,2025-10-07
1237,12092,3,4374,7718,63.83,63.8,63.8,2025-10-08
1238,11421,0,4052,7369,64.52,64.52,64.52,2025-10-09
1239,12042,0,4430,7612,63.21,63.21,63.21,2025-10-10
1240,11109,0,4046,7063,63.58,63.58,63.58,2025-10-11
1241,9718,0,3500,6218,63.98,63.98,63.98,2025-10-12
1242,11160,0,4094,7066,63.32,63.32,63.32,2025-10-13
1243,10824,0,3956,6868,63.45,63.45,63.45,2025-10-14
1244,11233,0,3913,7320,65.17,65.17,65.17,2025-10-15
1245,10964,0,3978,6986,63.72,63.72,63.72,2025-10-16
1246,11155,0,4083,7072,63.4,63.4,63.4,2025-10-17
1247,10428,0,3596,6832,65.52,65.52,65.52,2025-10-18
1248,10325,0,3555,6770,65.57,65.57,65.57,2025-10-19
1249,12207,0,4494,7713,63.19,63.19,63.19,2025-10-20
1250,11507,0,4223,7284,63.3,63.3,63.3,2025-10-21
1251,11761,0,4238,7523,63.97,63.97,63.97,2025-10-22
1252,11250,0,4071,7179,63.81,63.81,63.81,2025-10-23
1253,12157,0,4291,7866,64.7,64.7,64.7,2025-10-24
1254,13100,0,4700,8400,64.12,64.12,64.12,2025-10-25
1255,12183,0,4321,7862,64.53,64.53,64.53,2025-10-26
1256,13705,3,4930,8775,64.03,64.01,64.01,2025-10-27
1257,13598,0,4967,8631,63.47,63.47,63.47,2025-10-28
1258,12508,0,4671,7837,62.66,62.66,62.66,2025-10-29
1259,12056,0,4401,7655,63.5,63.5,63.5,2025-10-30
1260,13360,2,4642,8718,65.25,65.24,65.24,2025-10-31
1261,14799,1,5009,9790,66.15,66.15,66.15,2025-11-01
1262,13056,4,4469,8587,65.77,65.74,65.74,2025-11-02
1263,13819,0,4954,8865,64.15,64.15,64.15,2025-11-03
1264,12595,0,4505,8090,64.23,64.23,64.23,2025-11-04
1265,13219,0,4834,8385,63.43,63.43,63.43,2025-11-05
1266,12422,0,4347,8075,65.01,65.01,65.01,2025-11-06
1267,11655,0,4193,7462,64.02,64.02,64.02,2025-11-07
1268,10912,0,3938,6974,63.91,63.91,63.91,2025-11-08
1269,10421,0,3654,6767,64.94,64.94,64.94,2025-11-09
1270,12737,0,4694,8043,63.15,63.15,63.15,2025-11-10
1271,11802,0,4436,7366,62.41,62.41,62.41,2025-11-11
1272,11486,0,4280,7206,62.74,62.74,62.74,2025-11-12
1273,11711,0,4400,7311,62.43,62.43,62.43,2025-11-13
1274,10232,0,3870,6362,62.18,62.18,62.18,2025-11-14
1275,10045,0,3641,6404,63.75,63.75,63.75,2025-11-15
1276,10197,0,3627,6570,64.43,64.43,64.43,2025-11-16
1277,11794,0,4222,7572,64.2,64.2,64.2,2025-11-17
1278,12341,1,4512,7829,63.44,63.43,63.43,2025-11-18
1279,11461,0,4208,7253,63.28,63.28,63.28,2025-11-19
1280,12150,0,4537,7613,62.66,62.66,62.66,2025-11-20
1281,11413,0,4207,7206,63.14,63.14,63.14,2025-11-21
1282,11013,0,3987,7026,63.8,63.8,63.8,2025-11-22
1283,10302,0,3593,6709,65.12,65.12,65.12,2025-11-23
1284,13340,29,4514,8826,66.16,65.94,65.94,2025-11-24
1285,14480,7,5337,9143,63.14,63.09,63.09,2025-11-25
1286,12838,1,4698,8140,63.41,63.4,63.4,2025-11-26
1287,12948,0,4676,8272,63.89,63.89,63.89,2025-11-27
1288,28208,1013,8729,19479,69.05,65.47,65.47,2025-11-28
1289,18154,61,6037,12117,66.75,66.41,66.41,2025-11-29
1290,12982,0,4413,8569,66.01,66.01,66.01,2025-11-30
1291,17929,3,5889,12040,67.15,67.14,67.14,2025-12-01
1292,15122,1,5347,9775,64.64,64.63,64.63,2025-12-02
1293,14261,0,5103,9158,64.22,64.22,64.22,2025-12-03
1294,12416,1,4536,7880,63.47,63.46,63.46,2025-12-04
1295,12835,0,4590,8245,64.24,64.24,64.24,2025-12-05
1296,11430,0,4011,7419,64.91,64.91,64.91,2025-12-06
1297,10783,0,3796,6987,64.8,64.8,64.8,2025-12-07
1298,11997,0,4444,7553,62.96,62.96,62.96,2025-12-08
1299,12103,6,4384,7719,63.78,63.73,63.73,2025-12-09
1300,12542,2,4691,7851,62.6,62.59,62.59,2025-12-10
1301,11780,0,4366,7414,62.94,62.94,62.94,2025-12-11
1302,10905,0,4197,6708,61.51,61.51,61.51,2025-12-12
1303,10030,0,3728,6302,62.83,62.83,62.83,2025-12-13
1304,9308,2,3437,5871,63.07,63.05,63.05,2025-12-14
1305,11439,2,4271,7168,62.66,62.65,62.65,2025-12-15
1306,11901,0,4408,7493,62.96,62.96,62.96,2025-12-16
1307,11938,4,4421,7517,62.97,62.93,62.93,2025-12-17
1308,12223,0,4464,7759,63.48,63.48,63.48,2025-12-18
1309,11480,0,4177,7303,63.61,63.61,63.61,2025-12-19
1310,10949,0,3957,6992,63.86,63.86,63.86,2025-12-20
1311,10349,0,3637,6712,64.86,64.86,64.86,2025-12-21
1312,11079,0,4023,7056,63.69,63.69,63.69,2025-12-22
1313,11056,0,3965,7091,64.14,64.14,64.14,2025-12-23
1314,12702,0,4651,8051,63.38,63.38,63.38,2025-12-24
1315,12382,1,4545,7837,63.29,63.29,63.29,2025-12-25
1316,11728,0,4219,7509,64.03,64.03,64.03,2025-12-26
1317,11104,0,4022,7082,63.78,63.78,63.78,2025-12-27
1318,10995,0,3955,7040,64.03,64.03,64.03,2025-12-28
1319,13022,0,4612,8410,64.58,64.58,64.58,2025-12-29
1320,13022,0,4613,8409,64.58,64.58,64.58,2025-12-30
1321,12538,0,4413,8125,64.8,64.8,64.8,2025-12-31
1322,12569,0,4418,8151,64.85,64.85,64.85,2026-01-01
1323,22182,351,6978,15204,68.54,66.96,66.96,2026-01-02
1324,29218,1096,8856,20362,69.69,65.95,65.95,2026-01-03
1325,13500,0,4834,8666,64.19,64.19,64.19,2026-01-04
1326,13848,2,4906,8942,64.57,64.56,64.56,2026-01-05
1327,13212,0,4650,8562,64.8,64.8,64.8,2026-01-06
1328,12880,1,4599,8281,64.29,64.29,64.29,2026-01-07
1329,12387,0,4554,7833,63.24,63.24,63.24,2026-01-08
1330,13513,5,4805,8708,64.44,64.4,64.4,2026-01-09
1331,12605,0,4403,8202,65.07,65.07,65.07,2026-01-10
1332,12108,0,4347,7761,64.1,64.1,64.1,2026-01-11
